name,_rxn_organic-inchikey,_rxn_M_acid,_rxn_M_inorganic,_rxn_M_organic,_solv_GBL,_solv_DMSO,_solv_DMF,_stoich_mmol_org,_stoich_mmol_inorg,_stoich_mmol_acid,_stoich_mmol_solv,_stoich_org/solv,_stoich_inorg/solv,_stoich_acid/solv,_stoich_org+inorg/solv,_stoich_org+inorg+acid/solv,_stoich_org/liq,_stoich_inorg/liq,_stoich_org+inorg/liq,_stoich_org/inorg,_stoich_acid/inorg,_rxn_temperature_c,_rxn_reactiontime_s,_feat_organic_0_avgpol_std,_feat_organic_0_refractivity_std,_feat_organic_0_maximalprojectionarea_std,_feat_organic_0_maximalprojectionradius_std,_feat_organic_0_maximalprojectionsize_std,_feat_organic_0_minimalprojectionarea_std,_feat_organic_0_minimalprojectionradius_std,_feat_organic_0_minimalprojectionsize_std,_feat_organic_0_molpol_std,_feat_organic_0_asavdwp_std,_feat_organic_0_asa_std,_feat_organic_0_asah_std,_feat_organic_0_asap_std,_feat_organic_0_asa-_std,_feat_organic_0_asa+_std,_feat_organic_0_protpsa_std,_feat_organic_0_hacceptorcount_std,_feat_organic_0_hdonorcount_std,_feat_organic_0_rotatablebondcount_std,_feat_organic_0_organoammoniummolecularweight_std,_feat_organic_0_atomcount_n_std,_feat_organic_0_bondcount_std,_feat_organic_0_chainatomcount_std,_feat_organic_0_ringatomcount_std,_raw_modelname,_feat_primaryAmine,_feat_secondaryAmine,_rxn_plateEdgeQ,_feat_maxproj_per_N,_raw_RelativeHumidity,_out_crystalscore
2018-07-06T15_40_16.425303+00_00_LBL_A1,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.219603379,0.249044126,0.72170678,1,0,0,0.470552821,0.16237677,4.055181403,5.817959327,0.080879359,0.027909575,0.697010958,0.108788934,0.805799891,0.047659892,0.016446314,0.064106206,2.897907261,24.97390115,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,1,22.85,-1,1
2018-07-06T15_40_16.425303+00_00_LBL_C1,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.75448818,0.253437783,0.858791887,1,0,0,0.576249356,0.170056752,4.532261569,5.707641254,0.100961033,0.029794576,0.794069103,0.130755609,0.924824712,0.056274885,0.016607262,0.072882148,3.388570863,26.65146491,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,1,22.85,-1,1
2018-07-06T15_40_16.425303+00_00_LBL_E1,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.75448818,0.415310948,0.948975328,1,0,0,0.636762445,0.278673646,4.532261569,5.535562087,0.115031217,0.05034243,0.818753633,0.165373647,0.98412728,0.063247278,0.027679631,0.09092691,2.284975471,16.26368922,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,1,22.85,-1,4
2018-07-06T15_40_16.425303+00_00_LBL_G1,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.783878009,0.494692742,1.522682234,1,0,0,1.023242462,0.332433522,4.558766022,5.059612657,0.202237312,0.065703354,0.901010874,0.267940666,1.16895154,0.10638409,0.034562324,0.140946414,3.078036337,13.71331624,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,1,22.85,-1,4
2018-07-06T15_40_16.425303+00_00_LBL_B1,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.636047607,0.335557165,1.266762812,1,0,0,0.844930796,0.223816629,4.426243754,5.360806679,0.157612622,0.04175055,0.825667482,0.199363172,1.025030654,0.086331505,0.02286865,0.109200155,3.775102859,19.77620597,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,1,22.85,-1,1
2018-07-06T15_40_16.425303+00_00_LBL_D1,XFYICZOIWSBQSK-UHFFFAOYSA-N,7.158137108,0.366781222,1.015606568,1,0,0,0.695690499,0.251245137,4.903323919,5.497678411,0.126542596,0.045700224,0.891889913,0.172242821,1.064132734,0.066886871,0.024155858,0.091042729,2.768971,19.5160948,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,1,22.85,-1,4
2018-07-06T15_40_16.425303+00_00_LBL_F1,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.636047607,0.539523285,1.539940502,1,0,0,1.027140315,0.359862031,4.426243754,5.028635077,0.204258273,0.071562566,0.880207787,0.275820839,1.156028626,0.10863601,0.038060988,0.146696999,2.854261431,12.29983542,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,1,22.85,-1,4
2018-07-06T15_40_16.425303+00_00_LBL_H1,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.606215166,0.457965486,1.442110089,1,0,0,0.96044532,0.305005014,4.3997393,5.155147664,0.186308013,0.059165136,0.853465233,0.24547315,1.098938382,0.100518753,0.031921363,0.132440116,3.148949282,14.42513762,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,1,22.85,-1,4
2018-07-06T15_40_16.425303+00_00_LBL_A2,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.425322089,0.297557758,0.828085606,1,0,0,0.5465365,0.19638812,4.240712579,5.714571397,0.095639106,0.034366203,0.742087601,0.130005309,0.87209291,0.054899137,0.019727023,0.074626161,2.782940732,21.59352902,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,1,22.85,-1,1
2018-07-06T15_40_16.425303+00_00_LBL_C2,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.987182912,0.269841585,0.870165791,1,0,0,0.590842572,0.183222436,4.744297197,5.678827612,0.104043055,0.032264131,0.83543603,0.136307185,0.971743216,0.056685743,0.017578456,0.074264198,3.22472828,25.89364758,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,0,22.85,-1,1
