Chemical Name,Chemical Abbreviation,Molecular Weight (g/mol),Density            (g/mL),InChI=,InChI Key (ID),Chemical Category,Canonical SMILES String,Molecular Formula,PubChem ID,ECL Chemical id,ECL Product id,Catalog description,Synonyms,Catalog number,Sigma-Aldrich URL,Primary Information Source
null,null,null,null,null,null,null,null,null,,,,,,,,
Gamma-Butyrolactone,GBL,86.09,1.120000,InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2,YEJRWHAVMIAJKC-UHFFFAOYSA-N,solvent,C1CC(=O)OC1,C4H6O2,,"Model[Sample, Chemical, ""id:N80DNjlYwwAo""]","Object[Product, ""id:lYq9jRxzx1O4""]",,,Spectrum 1Kg bottle,,(note: there is also a 3Kg bottle version: product ID id:jLq9jXvYvnwz)
Dimethyl sulfoxide,DMSO,78.13,1.100000,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,solvent,CS(=O)C,C2H6OS,,"Model[Sample, Chemical, ""Dimethyl sulfoxide""]",,,,,,
Formic Acid,FAH,46.03,1.220000,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",BDAGIHXWWSANSR-UHFFFAOYSA-N,"acid,solvent",C(=O)O,CH2O2,,"Model[Sample, Chemical, ""id:n0k9mG8z6JY4""]","Object[Product, ""id:xRO9n3Bv6M6O""]","Formic acid, reagent grade, 1L",,Sigma:F0507-1L,,
Lead Diiodide,PbI2,461.01,6.160000,InChI=1S/2HI.Pb/h2*1H;/q;;+2/p-2,RQQRAHKHDFPBMC-UHFFFAOYSA-L,inorganic,I[Pb]I,PbI2,,"Model[Sample, Chemical, ""id:1ZA60vLr1Yqa""]","Object[Product, ""id:eGakldJ4Ap5G""]","Lead(II) iodide 99%, 50g",,Sigma:211168-50G,,
Ethylammonium Iodide,EtNH3I,173.00,2.053408,"InChI=1S/C2H7N.HI/c1-2-3;/h2-3H2,1H3;1H",XFYICZOIWSBQSK-UHFFFAOYSA-N,organic,CC[NH3+].[I-],C2H8IN,57461411,"Model[Sample, Chemical, ""id:J8AY5jDwdMR9""]","Object[Product, ""id:01G6nvwk5EXK""]","Ethylammonium Iodide 98%, 25g",,Sigma:805823-25G,,
Methylammonium iodide,MeNH3I,158.97,2.341498,"InChI=1S/CH5N.HI/c1-2;/h2H2,1H3;1H",LLWRXQXPJMPHLR-UHFFFAOYSA-N,organic,C[NH3+].[I-],CH6IN,SID329769003,"Model[Sample, Chemical, ""id:kEJ9mqRJ6NP8""]","Object[Product, ""id:P5ZnEjdZqJ8r""]",Methylammonium iodide,"Methylammonium iodide, ""Methanamine hydroiodide"", ""Methanaminium \",Sigma: 806390-25G,https://www.sigmaaldrich.com/catalog/product/aldrich/806390?lang=en&region=US,PubChem
Phenethylammonium iodide ,PhEtNH3I,249.10,1.630204,"InChI=1S/C8H11N.HI/c9-7-6-8-4-2-1-3-5-8;/h1-5H,6-7,9H2;1H",UPHCENSIMPJEIS-UHFFFAOYSA-N,organic,C1=CC=C(C=C1)CC[NH3+].[I-],C8H12IN,SID329768971,"Model[Sample, Chemical, ""id:WNa4ZjKRrRRz""]","Object[Product, ""id:1ZA60vLwjww6""]",Phenethylammonium iodide,,Sigma:805904-25G,https://www.sigmaaldrich.com/catalog/product/aldrich/805904?lang=en&region=US,
Acetamidinium iodide,AcNH3I,185.97,2.176639,"InChI=1S/C2H6N2.HI/c1-2(3)4;/h1H3,(H3,3,4);1H",GGYGJCFIYJVWIP-UHFFFAOYSA-N,organic,CC(=[NH2+])N.[I-],C2H7IN2,SID329768980,"Model[Sample, Chemical, ""id:Y0lXejMMoL4v""]","Object[Product, ""id:Z1lqpMzz8KW9""]",,,Sigma:805971-25G,,PubChem
n-Butylammonium iodide,n-BuNH3I,201.05,1.686302,"InChI=1S/C4H11N.HI/c1-2-3-4-5;/h2-5H2,1H3;1H",CALQKRVFTWDYDG-UHFFFAOYSA-N,organic,CCCC[NH3+].[I-],C4H12IN,,"Model[Sample, Chemical, ""id:O81aEBZ406oD""]","Object[Product, ""id:AEqRl9K5p4lv""]",,,Sigma: 805874-25G,https://www.sigmaaldrich.com/catalog/product/aldrich/805874,
