Full Name,Amine,Explored,Success,Inchi
"Methylammonium iodide",MA,5.02,0.10,LLWRXQXPJMPHLR-UHFFFAOYSA-N
"t-Butylammonium Iodide",tBuA,11.57,0.06,NLJDBTZLVTWXRG-UHFFFAOYSA-N
"Ethylammonium Iodide",EtA,16.12,0.03, XFYICZOIWSBQSK-UHFFFAOYSA-N
"4-Fluoro-Benzylammonium iodide",4FBenA,14.03,0.15,LCTUISCIGMWMAT-UHFFFAOYSA-N
"n-Butylammonium iodide",nBuA,3.96,0.002, CALQKRVFTWDYDG-UHFFFAOYSA-N
"Cyclohexylammonium iodide",CHA,12.56,0.02, WGYRINYTHSORGH-UHFFFAOYSA-N
"Formamidinium Iodide",FA,3.64,0.53, QHJPGANWSLEMTI-UHFFFAOYSA-N
"Morpholinium Iodide",Morph,14.69,0.03,VAWHFUNJDMQUSB-UHFFFAOYSA-N
"Acetamidinium iodide",Acet,13.96,0.15,GGYGJCFIYJVWIP-UHFFFAOYSA-N
"Piperidinium Iodide",Piper,18.34,0.01,HBPSMMXRESDUSG-UHFFFAOYSA-N
"Cyclohexylmethylammonium iodide",CHMA,6.05,0.46,ZEVRFFCPALTVDN-UHFFFAOYSA-N
"n-Hexylammonium iodide",nHex,15.05,0.004,VNAAUNTYIONOHR-UHFFFAOYSA-N
"iso-Butylammonium iodide",iBuA,10.97,0.42,FCTHQYIDLRRROX-UHFFFAOYSA-N
"N,N-Diethylpropane-1,3-diammonium iodide",NNDiEtPA,4.97,0.0001,NXRUEVJQMBGVAT-UHFFFAOYSA-N
"n-Dodecylammonium iodide",nDodA,1.76,0.01,PXWSKGXEHZHFJA-UHFFFAOYSA-N
"N,N-dimethylpropane-1,3-diammonium iodide",NNDiMPA,8.01,0.05,JERSPYRKVMAEJY-UHFFFAOYSA-N
"Pyrrolidinium Iodide",Pyrro,9.43,0.04,DMFMZFFIQRMJQZ-UHFFFAOYSA-N
"Dimethylammonium iodide",DiMA,10.00,0.11,JMXLWMIFDJCGBV-UHFFFAOYSA-N
"4-Fluoro-Phenethylammonium iodide",4FPhenEtA,9.31,0.03,NOHLSFNWSBZSBW-UHFFFAOYSA-N
