,Reagent1 (ul),Reagent2 (ul),Reagent3 (ul),Reagent7 (ul),_rxn_M_inorganic,_rxn_M_organic,_rxn_M_acid,_rxn_organic-inchikey,_rxn_mixingtime1S,_rxn_mixingtime2S,_rxn_reactiontimeS,_rxn_stirrateRPM,_rxn_temperatureC
0,0,0,250,250,0.0,1.15,13.252226808603087,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
1,12,200,38,250,0.7440000000000001,0.92,13.252226808603087,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
2,21,150,79,250,0.5579999999999998,0.92,13.252226808603087,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
3,31,100,119,250,0.3719999999999999,0.92,13.252226808603087,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
4,40,50,160,250,0.18599999999999994,0.92,13.252226808603087,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
5,50,0,200,250,0.0,0.92,13.252226808603087,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
6,71,150,29,250,0.5579999999999998,0.69,13.252226808603087,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
7,81,100,69,250,0.3719999999999999,0.69,13.252226808603087,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
8,90,50,110,250,0.18599999999999994,0.69,13.252226808603087,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
9,100,0,150,250,0.0,0.69,13.252226808603087,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
10,131,100,19,250,0.3719999999999999,0.46,13.252226808603087,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
11,140,50,60,250,0.18599999999999994,0.46,13.252226808603087,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
12,150,0,100,250,0.0,0.46,13.252226808603087,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
13,190,50,10,250,0.18599999999999994,0.23,13.252226808603087,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
14,200,0,50,250,0.0,0.23,13.252226808603087,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
15,250,0,0,250,0.0,0.0,13.252226808603087,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
16,0,0,300,200,0.0,1.38,10.601781446882468,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
17,2,250,48,200,0.93,1.15,10.601781446882468,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
18,12,200,88,200,0.7440000000000001,1.15,10.601781446882468,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
19,21,150,129,200,0.5579999999999998,1.15,10.601781446882468,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
20,31,100,169,200,0.3719999999999999,1.15,10.601781446882468,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
21,40,50,210,200,0.18599999999999994,1.15,10.601781446882468,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
22,50,0,250,200,0.0,1.15,10.601781446882468,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
23,62,200,38,200,0.7440000000000001,0.92,10.601781446882468,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
24,71,150,79,200,0.5579999999999998,0.92,10.601781446882468,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0
