,name,_rxn_organic-inchikey,_rxn_M_acid,_rxn_M_inorganic,_rxn_M_organic,_solv_GBL,_solv_DMSO,_solv_DMF,_stoich_mmol_org,_stoich_mmol_inorg,_stoich_mmol_acid,_stoich_mmol_solv,_stoich_org/solv,_stoich_inorg/solv,_stoich_acid/solv,_stoich_org+inorg/solv,_stoich_org+inorg+acid/solv,_stoich_org/liq,_stoich_inorg/liq,_stoich_org+inorg/liq,_stoich_org/inorg,_stoich_acid/inorg,_rxn_temperature_c,_rxn_reactiontime_s,_feat_organic_0_avgpol_std,_feat_organic_0_refractivity_std,_feat_organic_0_maximalprojectionarea_std,_feat_organic_0_maximalprojectionradius_std,_feat_organic_0_maximalprojectionsize_std,_feat_organic_0_minimalprojectionarea_std,_feat_organic_0_minimalprojectionradius_std,_feat_organic_0_minimalprojectionsize_std,_feat_organic_0_molpol_std,_feat_organic_0_asavdwp_std,_feat_organic_0_asa_std,_feat_organic_0_asah_std,_feat_organic_0_asap_std,_feat_organic_0_asa-_std,_feat_organic_0_asa+_std,_feat_organic_0_protpsa_std,_feat_organic_0_hacceptorcount_std,_feat_organic_0_hdonorcount_std,_feat_organic_0_rotatablebondcount_std,_feat_organic_0_organoammoniummolecularweight_std,_feat_organic_0_atomcount_n_std,_feat_organic_0_bondcount_std,_feat_organic_0_chainatomcount_std,_feat_organic_0_ringatomcount_std,_raw_modelname,_feat_primaryAmine,_feat_secondaryAmine,_rxn_plateEdgeQ,_feat_maxproj_per_N,_raw_RelativeHumidity,_out_crystalscore
0,2019-06-18T19_59_27.923270+00_00_LBL_D9,FJFIJIDZQADKEE-UHFFFAOYSA-N,7.633282642,0.11143480800000001,0.24444207,1,0,0,0.122221035,0.055717404000000005,3.816641321,4.388551123,0.027849974,0.012696082,0.8696814079999999,0.040546056000000004,0.9102274640000001,0.014895572,0.006790505,0.021686077,2.193588113,68.49998487,105,12600,10.83,41.21,40.17,4.29,3.97,20.46,3.35,8.57,11.42,163.01,256.13,171.72,84.41,32.62,223.51,27.64,0,1,0,112.12700000000001,1,15,2,6,escalate_MathematicaUniformRandom_1,1,0,0,40.17,59.67601351,3
1,2019-06-18T19_59_27.923270+00_00_LBL_E10,FJFIJIDZQADKEE-UHFFFAOYSA-N,9.170540952,0.21812770899999998,0.303335411,1,0,0,0.151667705,0.109063854,4.585270476,3.913884465,0.038751196,0.027865885,1.1715395579999999,0.066617081,1.238156639,0.017845034,0.012832317,0.030677351000000002,1.390632179,42.04207254,105,12600,10.83,41.21,40.17,4.29,3.97,20.46,3.35,8.57,11.42,163.01,256.13,171.72,84.41,32.62,223.51,27.64,0,1,0,112.12700000000001,1,15,2,6,escalate_MathematicaUniformRandom_1,1,0,0,40.17,59.67601351,3
2,2019-06-18T19_59_27.923270+00_00_LBL_H5,FJFIJIDZQADKEE-UHFFFAOYSA-N,8.322398436,0.488416391,0.389079464,1,0,0,0.194539732,0.24420819600000002,4.161199218,3.924290238,0.049573227000000004,0.062229902000000004,1.060369893,0.111803129,1.172173022,0.024060353,0.030203267000000002,0.05426362,0.796614264,17.03955597,105,12600,10.83,41.21,40.17,4.29,3.97,20.46,3.35,8.57,11.42,163.01,256.13,171.72,84.41,32.62,223.51,27.64,0,1,0,112.12700000000001,1,15,2,6,escalate_MathematicaUniformRandom_1,1,0,1,40.17,59.67601351,4
3,2019-06-18T19_59_27.923270+00_00_LBL_B7,FJFIJIDZQADKEE-UHFFFAOYSA-N,2.915489898,0.30348203,0.632703914,1,0,0,0.316351957,0.151741015,1.457744949,5.153300765,0.061388219,0.029445402000000002,0.282875969,0.09083362199999999,0.373709591,0.04785203,0.022952649,0.07080467900000001,2.084815087,9.606795838,105,12600,10.83,41.21,40.17,4.29,3.97,20.46,3.35,8.57,11.42,163.01,256.13,171.72,84.41,32.62,223.51,27.64,0,1,0,112.12700000000001,1,15,2,6,escalate_MathematicaUniformRandom_1,1,0,0,40.17,59.67601351,1
4,2019-06-18T19_59_27.923270+00_00_LBL_A12,FJFIJIDZQADKEE-UHFFFAOYSA-N,2.968498805,0.561915945,0.554433544,1,0,0,0.277216772,0.280957973,1.4842494030000002,5.074881576,0.054625269000000004,0.055362469000000004,0.292469761,0.109987738,0.402457499,0.042264252999999995,0.042834634,0.085098887,0.9866841279999999,5.282816461,105,12600,10.83,41.21,40.17,4.29,3.97,20.46,3.35,8.57,11.42,163.01,256.13,171.72,84.41,32.62,223.51,27.64,0,1,0,112.12700000000001,1,15,2,6,escalate_MathematicaUniformRandom_1,1,0,1,40.17,59.67601351,1
5,2019-06-18T19_59_27.923270+00_00_LBL_F11,FJFIJIDZQADKEE-UHFFFAOYSA-N,14.86577139,0.288678951,0.254567935,1,0,0,0.127538535,0.144628155,7.447751466000001,2.524466668,0.050520982,0.057290577999999995,2.95022769,0.10781156,3.05803925,0.012789385,0.014503108,0.027292492999999998,0.881837535,51.49586179999999,105,12600,10.83,41.21,40.17,4.29,3.97,20.46,3.35,8.57,11.42,163.01,256.13,171.72,84.41,32.62,223.51,27.64,0,1,0,112.12700000000001,1,15,2,6,escalate_MathematicaUniformRandom_1,1,0,0,40.17,59.67601351,3
6,2019-06-18T19_59_27.923270+00_00_LBL_A9,FJFIJIDZQADKEE-UHFFFAOYSA-N,11.66195959,0.26554677600000004,0.690864087,1,0,0,0.34543204299999997,0.13277338800000002,5.830979796,2.980296014,0.11590528,0.044550402999999995,1.956510282,0.16045568300000002,2.116965965,0.039203407999999995,0.015068577,0.054271985,2.601666259,43.91678097,105,12600,10.83,41.21,40.17,4.29,3.97,20.46,3.35,8.57,11.42,163.01,256.13,171.72,84.41,32.62,223.51,27.64,0,1,0,112.12700000000001,1,15,2,6,escalate_MathematicaUniformRandom_1,1,0,1,40.17,59.67601351,3
7,2019-06-18T19_59_27.923270+00_00_LBL_D5,FJFIJIDZQADKEE-UHFFFAOYSA-N,6.626113404,0.40069111700000004,0.415976781,1,0,0,0.20798839,0.20034555899999998,3.313056702,4.362548512,0.047675892000000004,0.045923973,0.7594314870000001,0.093599864,0.8530313509999999,0.027097327999999997,0.026101597999999997,0.053198925,1.038148247,16.5367115,105,12600,10.83,41.21,40.17,4.29,3.97,20.46,3.35,8.57,11.42,163.01,256.13,171.72,84.41,32.62,223.51,27.64,0,1,0,112.12700000000001,1,15,2,6,escalate_MathematicaUniformRandom_1,1,0,0,40.17,59.67601351,4
8,2019-06-18T19_59_27.923270+00_00_LBL_H10,FJFIJIDZQADKEE-UHFFFAOYSA-N,8.534434065,0.267917729,0.498699331,1,0,0,0.24934966600000003,0.133958865,4.267217032,3.8950017189999997,0.064017858,0.034392505,1.095562298,0.09841036199999999,1.19397266,0.030549251,0.016412065,0.046961315999999996,1.86138981,31.854682,105,12600,10.83,41.21,40.17,4.29,3.97,20.46,3.35,8.57,11.42,163.01,256.13,171.72,84.41,32.62,223.51,27.64,0,1,0,112.12700000000001,1,15,2,6,escalate_MathematicaUniformRandom_1,1,0,1,40.17,59.67601351,3
9,2019-06-18T19_59_27.923270+00_00_LBL_D4,FJFIJIDZQADKEE-UHFFFAOYSA-N,3.2865522489999996,0.116176714,0.67166691,1,0,0,0.335833455,0.058088357,1.643276124,5.123349275,0.065549592,0.011337965,0.320742553,0.076887558,0.39763011,0.049630863,0.008584539,0.05821540099999999,5.781424561000001,28.28925112,105,12600,10.83,41.21,40.17,4.29,3.97,20.46,3.35,8.57,11.42,163.01,256.13,171.72,84.41,32.62,223.51,27.64,0,1,0,112.12700000000001,1,15,2,6,escalate_MathematicaUniformRandom_1,1,0,0,40.17,59.67601351,1
