,name,_rxn_organic-inchikey,_rxn_M_acid,_rxn_M_inorganic,_rxn_M_organic,_solv_GBL,_solv_DMSO,_solv_DMF,_stoich_mmol_org,_stoich_mmol_inorg,_stoich_mmol_acid,_stoich_mmol_solv,_stoich_org/solv,_stoich_inorg/solv,_stoich_acid/solv,_stoich_org+inorg/solv,_stoich_org+inorg+acid/solv,_stoich_org/liq,_stoich_inorg/liq,_stoich_org+inorg/liq,_stoich_org/inorg,_stoich_acid/inorg,_rxn_temperature_c,_rxn_reactiontime_s,_feat_organic_0_avgpol_std,_feat_organic_0_refractivity_std,_feat_organic_0_maximalprojectionarea_std,_feat_organic_0_maximalprojectionradius_std,_feat_organic_0_maximalprojectionsize_std,_feat_organic_0_minimalprojectionarea_std,_feat_organic_0_minimalprojectionradius_std,_feat_organic_0_minimalprojectionsize_std,_feat_organic_0_molpol_std,_feat_organic_0_asavdwp_std,_feat_organic_0_asa_std,_feat_organic_0_asah_std,_feat_organic_0_asap_std,_feat_organic_0_asa-_std,_feat_organic_0_asa+_std,_feat_organic_0_protpsa_std,_feat_organic_0_hacceptorcount_std,_feat_organic_0_hdonorcount_std,_feat_organic_0_rotatablebondcount_std,_feat_organic_0_organoammoniummolecularweight_std,_feat_organic_0_atomcount_n_std,_feat_organic_0_bondcount_std,_feat_organic_0_chainatomcount_std,_feat_organic_0_ringatomcount_std,_raw_modelname,_feat_primaryAmine,_feat_secondaryAmine,_rxn_plateEdgeQ,_feat_maxproj_per_N,_raw_RelativeHumidity,_out_crystalscore
4470,2019-06-10T21_14_00.866379+00_00_LBL_A1,JMXLWMIFDJCGBV-UHFFFAOYSA-N,7.898327178,0.6605901270000001,0.892413572,0,0,1,0.446206786,0.33029506399999997,3.949163589,3.724355355,0.11980779,0.08868516300000001,1.06036165,0.20849295399999998,1.2688546040000002,0.058148912999999997,0.043043494,0.101192407,1.350933863,11.95647173,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,62.9978022,3
4471,2019-06-10T21_14_00.866379+00_00_LBL_C1,JMXLWMIFDJCGBV-UHFFFAOYSA-N,0.106017814,0.67193073,1.084775169,0,0,1,0.542387584,0.335965365,0.053008907,5.5117631529999995,0.098405459,0.060954246,0.009617414,0.159359705,0.16897711899999998,0.097468068,0.060373607999999995,0.157841676,1.614415177,0.157780869,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,62.9978022,1
4472,2019-06-10T21_14_00.866379+00_00_LBL_E1,JMXLWMIFDJCGBV-UHFFFAOYSA-N,3.2931385260000003,0.056816649000000004,1.21052423,0,0,1,0.604051591,0.028351507999999997,1.643276124,4.953714747,0.121939115,0.005723282,0.33172603,0.12766239699999998,0.459388426,0.091564715,0.004297642,0.09586235800000001,21.30580142,57.960802199999996,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,62.9978022,1
4473,2019-06-10T21_14_00.866379+00_00_LBL_G1,JMXLWMIFDJCGBV-UHFFFAOYSA-N,0.7951336090000001,1.1340603040000001,1.41824125,0,0,1,0.709120625,0.5670301520000001,0.397566804,4.937778829,0.143611257,0.114835065,0.080515312,0.258446322,0.338961634,0.13290996900000002,0.106278054,0.23918802399999997,1.250587156,0.701138736,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,62.9978022,1
4474,2019-06-10T21_14_00.866379+00_00_LBL_B1,JMXLWMIFDJCGBV-UHFFFAOYSA-N,6.626113404,0.493316232,0.857650018,0,0,1,0.428825009,0.246658116,3.313056702,4.134174452,0.10372687800000001,0.059663209,0.801382898,0.163390087,0.964772985,0.057581805,0.033120782,0.090702586,1.738540032,13.43177656,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,62.9978022,3
4475,2019-06-10T21_14_00.866379+00_00_LBL_D1,JMXLWMIFDJCGBV-UHFFFAOYSA-N,4.081685857,0.394085956,0.8417891040000001,0,0,1,0.42089455200000003,0.197042978,2.040842929,4.810682911000001,0.08749164300000001,0.040959461,0.42423143799999996,0.128451104,0.552682542,0.061430776,0.028758992,0.090189769,2.136054564,10.3573492,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,62.9978022,4
4476,2019-06-10T21_14_00.866379+00_00_LBL_F1,JMXLWMIFDJCGBV-UHFFFAOYSA-N,6.904967876000001,0.193176605,0.9283510759999999,0,0,1,0.463247187,0.096395126,3.44557897,4.164177767,0.11124577599999999,0.023148658,0.827433208,0.134394434,0.961827642,0.060875427,0.012667307,0.073542734,4.80571173,35.74432773,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,62.9978022,3
4477,2019-06-10T21_14_00.866379+00_00_LBL_H1,JMXLWMIFDJCGBV-UHFFFAOYSA-N,1.961329568,0.771161007,1.462382158,0,0,1,0.731191079,0.38558050299999996,0.980664784,4.804842971,0.15217793400000001,0.080248305,0.204099237,0.23242623899999998,0.436525476,0.126383216,0.066645923,0.193029139,1.896338307,2.543346396,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,62.9978022,1
4478,2019-06-10T21_14_00.866379+00_00_LBL_A2,JMXLWMIFDJCGBV-UHFFFAOYSA-N,0.7951336090000001,0.535843494,1.454896314,0,0,1,0.727448157,0.267921747,0.397566804,5.206762887,0.139712173,0.05145649099999999,0.07635585,0.191168664,0.267524513,0.1298011,0.047806207,0.177607307,2.71515159,1.483891505,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,62.9978022,1
4479,2019-06-10T21_14_00.866379+00_00_LBL_C2,JMXLWMIFDJCGBV-UHFFFAOYSA-N,6.002010539,0.289764907,1.188154658,0,0,1,0.592889174,0.144592689,2.9950032589999998,4.19500492,0.141332176,0.034467823,0.713945112,0.1758,0.8897451120000001,0.082460153,0.020110226000000002,0.102570379,4.100409082,20.71337966,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,0,22.94,62.9978022,3
